iso3,overlay,entity_count,coverage_flag
CYP,defense,0,missing
CYP,security,0,missing
CYP,finance,0,missing
CYP,critical_infra,0,missing
CYP,energy,0,missing
CYP,none,11,present
CZE,media,3,present
CZE,tech_platform,8,present
CZE,telecom,0,missing
CZE,defense,0,missing
CZE,security,0,missing
CZE,finance,1,present
CZE,critical_infra,0,missing
CZE,energy,0,missing
CZE,none,57,present
DEU,media,1,present
DEU,tech_platform,7,present
DEU,telecom,0,missing
DEU,defense,0,missing
DEU,security,0,missing
DEU,finance,0,missing
DEU,critical_infra,0,missing
DEU,energy,0,missing
DEU,none,60,present
DJI,media,0,missing
DJI,tech_platform,2,present
DJI,telecom,0,missing
DJI,defense,0,missing
DJI,security,0,missing
DJI,finance,0,missing
DJI,critical_infra,0,missing
DJI,energy,0,missing
DJI,none,18,present
DMA,media,0,missing
DMA,tech_platform,0,missing
DMA,telecom,0,missing
DMA,defense,0,missing
DMA,security,0,missing
DMA,finance,0,missing
DMA,critical_infra,0,missing
DMA,energy,0,missing
DMA,none,0,missing
DNK,media,0,missing
DNK,tech_platform,3,present
DNK,telecom,0,missing
DNK,defense,0,missing
DNK,security,0,missing
DNK,finance,0,missing
DNK,critical_infra,0,missing
DNK,energy,0,missing
DNK,none,27,present
DOM,media,0,missing
DOM,tech_platform,1,present
DOM,telecom,0,missing
DOM,defense,0,missing
DOM,security,0,missing
DOM,finance,0,missing
DOM,critical_infra,0,missing
DOM,energy,0,missing
DOM,none,14,present
DZA,media,0,missing
DZA,tech_platform,2,present
DZA,telecom,0,missing
DZA,defense,0,missing
DZA,security,0,missing
DZA,finance,0,missing
DZA,critical_infra,0,missing
DZA,energy,0,missing
DZA,none,8,present
ECU,media,0,missing
ECU,tech_platform,3,present
ECU,telecom,0,missing
ECU,defense,0,missing
ECU,security,0,missing
ECU,finance,0,missing
ECU,critical_infra,1,present
ECU,energy,0,missing
ECU,none,35,present
EGY,media,0,missing
EGY,tech_platform,4,present
EGY,telecom,0,missing
EGY,defense,0,missing
EGY,security,0,missing
EGY,finance,0,missing
EGY,critical_infra,0,missing
EGY,energy,0,missing
EGY,none,14,present
ERI,media,0,missing
ERI,tech_platform,0,missing
ERI,telecom,0,missing
ERI,defense,0,missing
ERI,security,0,missing
ERI,finance,0,missing
ERI,critical_infra,0,missing
ERI,energy,0,missing
ERI,none,1,present
ESP,media,0,missing
ESP,tech_platform,5,present
ESP,telecom,0,missing
ESP,defense,0,missing
ESP,security,0,missing
ESP,finance,0,missing
ESP,critical_infra,0,missing
ESP,energy,0,missing
ESP,none,61,present
EST,media,0,missing
EST,tech_platform,5,present
EST,telecom,0,missing
EST,defense,0,missing
EST,security,0,missing
EST,finance,0,missing
EST,critical_infra,0,missing
EST,energy,0,missing
EST,none,38,present
ETH,media,0,missing
ETH,tech_platform,0,missing
ETH,telecom,0,missing
ETH,defense,0,missing
ETH,security,0,missing
ETH,finance,0,missing
ETH,critical_infra,0,missing
ETH,energy,0,missing
ETH,none,5,present
FIN,media,0,missing
FIN,tech_platform,3,present
FIN,telecom,0,missing
FIN,defense,0,missing
FIN,security,0,missing
FIN,finance,0,missing
FIN,critical_infra,0,missing
FIN,energy,0,missing
FIN,none,16,present
FJI,media,0,missing
FJI,tech_platform,1,present
