dataset,source_column,output_column
vdem,v2elpubfin_codelow,vdem__v2elpubfin_codelow
vdem,v2elpubfin_codehigh,vdem__v2elpubfin_codehigh
vdem,v2elpubfin_sd,vdem__v2elpubfin_sd
vdem,v2elpubfin_osp,vdem__v2elpubfin_osp
vdem,v2elpubfin_osp_codelow,vdem__v2elpubfin_osp_codelow
vdem,v2elpubfin_osp_codehigh,vdem__v2elpubfin_osp_codehigh
vdem,v2elpubfin_osp_sd,vdem__v2elpubfin_osp_sd
vdem,v2elpubfin_ord,vdem__v2elpubfin_ord
vdem,v2elpubfin_ord_codelow,vdem__v2elpubfin_ord_codelow
vdem,v2elpubfin_ord_codehigh,vdem__v2elpubfin_ord_codehigh
vdem,v2elpubfin_mean,vdem__v2elpubfin_mean
vdem,v2elpubfin_nr,vdem__v2elpubfin_nr
vdem,v2elembaut,vdem__v2elembaut
vdem,v2elembaut_codelow,vdem__v2elembaut_codelow
vdem,v2elembaut_codehigh,vdem__v2elembaut_codehigh
vdem,v2elembaut_sd,vdem__v2elembaut_sd
vdem,v2elembaut_osp,vdem__v2elembaut_osp
vdem,v2elembaut_osp_codelow,vdem__v2elembaut_osp_codelow
vdem,v2elembaut_osp_codehigh,vdem__v2elembaut_osp_codehigh
vdem,v2elembaut_osp_sd,vdem__v2elembaut_osp_sd
vdem,v2elembaut_ord,vdem__v2elembaut_ord
vdem,v2elembaut_ord_codelow,vdem__v2elembaut_ord_codelow
vdem,v2elembaut_ord_codehigh,vdem__v2elembaut_ord_codehigh
vdem,v2elembaut_mean,vdem__v2elembaut_mean
vdem,v2elembaut_nr,vdem__v2elembaut_nr
vdem,v2elembcap,vdem__v2elembcap
vdem,v2elembcap_codelow,vdem__v2elembcap_codelow
vdem,v2elembcap_codehigh,vdem__v2elembcap_codehigh
vdem,v2elembcap_sd,vdem__v2elembcap_sd
vdem,v2elembcap_osp,vdem__v2elembcap_osp
vdem,v2elembcap_osp_codelow,vdem__v2elembcap_osp_codelow
vdem,v2elembcap_osp_codehigh,vdem__v2elembcap_osp_codehigh
vdem,v2elembcap_osp_sd,vdem__v2elembcap_osp_sd
vdem,v2elembcap_ord,vdem__v2elembcap_ord
vdem,v2elembcap_ord_codelow,vdem__v2elembcap_ord_codelow
vdem,v2elembcap_ord_codehigh,vdem__v2elembcap_ord_codehigh
vdem,v2elembcap_mean,vdem__v2elembcap_mean
vdem,v2elembcap_nr,vdem__v2elembcap_nr
vdem,v2elmulpar,vdem__v2elmulpar
vdem,v2elmulpar_codelow,vdem__v2elmulpar_codelow
vdem,v2elmulpar_codehigh,vdem__v2elmulpar_codehigh
vdem,v2elmulpar_sd,vdem__v2elmulpar_sd
vdem,v2elmulpar_osp,vdem__v2elmulpar_osp
vdem,v2elmulpar_osp_codelow,vdem__v2elmulpar_osp_codelow
vdem,v2elmulpar_osp_codehigh,vdem__v2elmulpar_osp_codehigh
vdem,v2elmulpar_osp_sd,vdem__v2elmulpar_osp_sd
vdem,v2elmulpar_ord,vdem__v2elmulpar_ord
vdem,v2elmulpar_ord_codelow,vdem__v2elmulpar_ord_codelow
vdem,v2elmulpar_ord_codehigh,vdem__v2elmulpar_ord_codehigh
vdem,v2elmulpar_mean,vdem__v2elmulpar_mean
vdem,v2elmulpar_nr,vdem__v2elmulpar_nr
vdem,v2elrgstry,vdem__v2elrgstry
vdem,v2elrgstry_codelow,vdem__v2elrgstry_codelow
vdem,v2elrgstry_codehigh,vdem__v2elrgstry_codehigh
vdem,v2elrgstry_sd,vdem__v2elrgstry_sd
vdem,v2elrgstry_osp,vdem__v2elrgstry_osp
vdem,v2elrgstry_osp_codelow,vdem__v2elrgstry_osp_codelow
vdem,v2elrgstry_osp_codehigh,vdem__v2elrgstry_osp_codehigh
vdem,v2elrgstry_osp_sd,vdem__v2elrgstry_osp_sd
vdem,v2elrgstry_ord,vdem__v2elrgstry_ord
