iso3,year,A,G,M,P,S_norm,decline_norm,risk_score,risk_band,guardrail_breach,alignment_low,tipping_zone,percolation_risk,shock_high,decline_high
COL,2020,0.5513713811313009,0.5704209140564455,0.7111664332762823,0.3091013753826163,0.508,0.0,0.8740664126885525,high,False,False,False,False,True,False
COL,2021,0.5482926536754068,0.5656891247678887,0.7111664332762823,0.3091013753826163,0.5,0.0,0.8743974202601152,high,False,False,False,False,True,False
COL,2022,0.5642319963941359,0.5456017374883819,0.7111664332762823,0.3091013753826163,0.5178571428571429,0.0,0.8760206369065301,high,False,False,False,False,True,False
COL,2023,0.573004186791547,0.5512057042116133,0.7111664332762823,0.3091013753826163,0.5,0.0,0.8732697934427445,high,False,False,False,False,True,False
COL,2024,0.5240976685514991,0.5588709967130754,0.7111664332762823,0.3091013753826163,0.5142857142857143,0.0,0.8786808140737317,high,False,False,False,False,True,False
COL,2025,0.5240976685514991,0.5233522708238927,0.7111664332762823,0.3091013753826163,0.19042857142857142,0.0,0.8607101961364473,high,False,False,False,False,False,False
COL,2026,0.5240976685514991,0.5233522708238927,0.7111664332762823,0.3091013753826163,0.19042857142857142,0.0,0.8607101961364473,high,False,False,False,False,False,False
COM,2020,0.32707215332560996,0.33771084088710496,0.7783724910533685,0.16461118873700972,0.4081428571428572,0.0,0.9090067693720678,high,True,False,False,False,True,False
COM,2021,0.3161939360947879,0.33124154410933226,0.7783724910533685,0.16461118873700972,0.38099999999999995,0.0,0.9090945563710702,high,True,False,False,False,True,False
COM,2022,0.2991178134530298,0.30783671625745557,0.7783724910533685,0.16461118873700972,0.3332857142857143,0.11064763948567966,0.9170557610612061,high,True,True,True,False,True,True
COM,2023,0.3038586638254853,0.3138355444516234,0.7783724910533685,0.16461118873700972,0.42857142857142855,0.06125507593506812,0.9175804365192762,high,True,True,True,False,True,True
COM,2024,0.5240976685514991,0.31626326332752674,0.7783724910533685,0.16461118873700972,0.39999999999999997,0.06125507593506812,0.8975328843035915,high,True,False,False,False,True,True
COM,2025,0.5240976685514991,0.5233522708238927,0.7783724910533685,0.16461118873700972,0.19042857142857142,0.04882493255905018,0.861443568005907,high,False,False,False,False,False,False
COM,2026,0.5240976685514991,0.5233522708238927,0.7783724910533685,0.16461118873700972,0.19042857142857142,0.0,0.8567152768788431,high,False,False,False,False,False,False
CPV,2020,0.5240976685514991,0.7643849670109303,0.16985633525232094,0.5399513472353847,0.08928571428571429,0.0,0.7729325486168791,high,False,False,False,False,False,False
CPV,2021,0.5240976685514991,0.7571018492446451,0.16985633525232094,0.5399513472353847,0.061285714285714284,0.0,0.7712579241834558,high,False,False,False,False,False,False
CPV,2022,0.5240976685514991,0.7410703988837346,0.16985633525232094,0.5399513472353847,0.08928571428571429,0.0,0.7769983814318524,high,False,False,False,False,False,False
CPV,2023,0.5240976685514991,0.7357522171559249,0.16985633525232094,0.5399513472353847,0.061285714285714284,0.0,0.7750025793895249,high,False,False,False,False,False,False
CPV,2024,0.5240976685514991,0.7324989934337782,0.16985633525232094,0.5399513472353847,0.08571428571428572,0.0,0.7781102843979164,high,False,False,False,False,False,False
CPV,2025,0.5240976685514991,0.5233522708238927,0.16985633525232094,0.5399513472353847,0.19042857142857142,0.0,0.8215175582806271,high,False,False,False,False,False,False
CPV,2026,0.5240976685514991,0.5233522708238927,0.16985633525232094,0.5399513472353847,0.19042857142857142,0.0,0.8215175582806271,high,False,False,False,False,False,False
